checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3.1-32B-Instruct-DPO,B_src-cap_none,B,source-capacity,inferential,medium,none,adversarial,0.0,0.8,0.2,0.006647,0.064087,0.019233800000000002,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.9,0.1,0.0,0.10631109999999999,0.021418700000000002,0.0062712,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,1.0,0.0,0.0,0.0895019,0.0080689,0.0026394,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.0,0.9,0.1,0.0096448,0.0491486,0.0119942,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.7,0.3,0.0,0.046929900000000004,0.0455628,0.0035004,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.4,0.6,0.0,0.0392944,0.0319925,0.0013893,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.9,0.1,0.0,0.1710937,0.06303109999999999,0.007567599999999999,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.9,0.1,0.0,0.1547609,0.0605102,0.0046356,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.7,0.3,0.0,0.1072874,0.0925507,0.0050415,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.9,0.1,0.0,0.24775399999999997,0.0383789,0.0014003,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_src-cap_stat_strong,C,source-capacity,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.1285401,0.0002363,9.33e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_src-cap_stat_weak,C,source-capacity,statistical,weak,fresh,adversarial,1.0,0.0,0.0,0.1120118,0.017955199999999998,0.0003722,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_src-mot_stat_strong,C,source-motivation,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.0804199,0.0003389,8.85e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,C_src-mot_stat_weak,C,source-motivation,statistical,weak,fresh,adversarial,1.0,0.0,0.0,0.0687257,0.0007819,0.0001944,10,DPO
Olmo-3.1-32B-Instruct-DPO,D_cooperate_fresh,D,no-cue,none,none,fresh,cooperate,1.0,0.0,0.0,0.32041010000000003,4.1e-05,1.02e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,D_cooperate_none,D,no-cue,none,none,none,cooperate,0.6,0.1,0.3,0.0369931,0.0042404999999999995,0.007153,10,DPO
Olmo-3.1-32B-Instruct-DPO,D_cooperate_stale-qual,D,no-cue,none,none,stale-quality,cooperate,1.0,0.0,0.0,0.1291993,0.0013501,0.0003994,10,DPO
Olmo-3.1-32B-Instruct-DPO,D_cooperate_stale-time,D,no-cue,none,none,stale-time,cooperate,1.0,0.0,0.0,0.2221192,9.219999999999999e-05,6.52e-05,10,DPO
Olmo-3.1-32B-Instruct-SFT,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.8,0.2,0.0,0.040771299999999996,0.0225189,0.0037535,10,SFT
Olmo-3.1-32B-Instruct-SFT,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.3,0.7,0.0,0.057824600000000004,0.0603027,0.0055992,10,SFT
Olmo-3.1-32B-Instruct-SFT,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.4,0.6,0.0,0.0459594,0.0381226,0.0064163,10,SFT
Olmo-3.1-32B-Instruct-SFT,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.9,0.1,0.0,0.0507325,0.0224977,0.0013788,10,SFT
